year_aired,imdb,monster_real,title,suspects_amount
1988,7.5,fake,Ghost Who's Coming to Dinner,5
1988,6.9,real,Scooby-Doo! and the Reluctant Werewolf,0
1988,6.9,fake,The Story Stick,3
1988,7.2,fake,Robopup,3
1988,7.5,fake,Lights...Camera...Monster,3
1989,7.7,fake,Curse of the Collar,3
1989,7.7,fake,The Return of Commander Cool,4
1989,7.8,fake,The Spirit of Rock'n Roll,4
1989,7.5,fake,Chickenstein Lives,4
1989,7.6,fake,Night of the Living Burger,4
1989,7.7,fake,The Computer Walks Among Us,5
1989,7.8,fake,"Terror, Thy Name is Zombo",5
1990,7.1,fake,Night of the Boogey Biker,2
1990,7.1,fake,Dawn of the Spooky Shuttle Scare,3
1990,6.9,fake,Horror of the Haunted Hairpiece,4
1990,7.2,fake,Wrestle Maniacs,8
1991,7.2,fake,The Were-Doo of Doo Manor,2
1991,6.6,fake,The Ghost of Mrs. Shusham,3
1991,7.2,fake,Mayhem of the Moving Mollusk,4
1997,8.4,fake,Bravo Dooby-Doo,1
1998,7.8,real,Scooby-Doo on Zombie Island,6
1999,7.3,real,Scooby-Doo and the Witch's Ghost,4
1999,7.4,fake,The Scooby-Doo Project,7
2000,6.9,fake,Scooby-Doo and the Alien Invaders,10
2001,7,real,Scooby-Doo and the Cyber Chase,4
2001,7.2,fake,Night of the Living Doo,2
2002,5.1,real,Scooby-Doo,11
2002,8.1,fake,Shaggy Busted,2
2002,7.5,fake,There's No Creature Like Snow Creature,6
2002,7.4,fake,3-D Struction,3
2002,7.6,fake,Space Ape and the Cape,4
2002,7.7,fake,Big Scare in the Big Easy,4
2002,7.6,fake,"It's Mean, It's Green, It's the Mystery Machine",5
2002,7.5,fake,Riva Ras Regas,6
2002,7.7,fake,Roller Ghoster Ride,5
2002,7.1,fake,"Safari, So Goodie!",5
2002,7.1,fake,She Sees Sea Monsters by the Sea Shore,4
2002,7.5,fake,A Scooby-Doo! Christmas,4
2003,7.7,fake,Toy Scary Boo,4
2003,7.5,fake,Lights! Camera! Mayhem!,5
2003,7.1,fake,Pompii and Circumstance,4
2003,6.6,fake,Scooby-Doo! and the Legend of the Vampire,10
2003,7.3,fake,The Unnatural,5
2003,7.2,fake,Big Appetite in Little Tokyo,3
2003,7.6,fake,Mummy Scares Best,3
2003,7.4,fake,The Fast and the Wormious,5
2003,6.5,fake,Scooby-Doo! and the Monster of Mexico,9
2003,7.5,real,High-Tech House of Horrors,6
2003,7.4,fake,The Vampire Strikes Back,3
2003,7.6,fake,A Scooby-Doo Halloween,4
2003,7.2,fake,Homeward Hound,5
2004,7.3,fake,The San Franpsycho,5
2004,7.5,fake,Simple Plan and the Invisible Madman,9
2004,7.5,fake,Recipe for Disaster,4
2004,7.5,fake,Large Dragon at Large,5
2004,7.4,fake,Uncle Scooby and Antarctica,5
2004,7.2,fake,"New Mexico, Old Monster",5
2004,5.1,real,Scooby-Doo 2: Monsters Unleashed,5
2004,7.4,fake,It's All Greek to Scooby,4
2004,6.7,fake,Scooby-Doo! and the Loch Ness Monster,8
2005,8,fake,Fright House of a Lighthouse,3
2005,7.2,fake,"Go West, Young Scoob",3
2005,6.4,fake,"Aloha, Scooby-Doo!",7
2005,7.5,fake,A Scooby-Doo Valentine,5
2005,7.4,fake,Wrestle Maniacs,9
2005,7.5,fake,Ready to Scare,4
2005,7.3,fake,Farmed & Dangerous,4
2005,7,fake,Diamonds Are a Ghoul's Best Friend,6
2005,7.6,fake,A Terrifying Round with a Menacing Metallic Clown,4
2005,7.5,fake,Camp Comeoniwannascareya,6
2005,7.4,fake,Block-Long Hong Kong Terror,5
2005,7.3,fake,"Gentlemen, Start Your Monsters!",5
2005,7.4,fake,Gold Paw,5
2005,7.5,real,Reef Grief!,5
2005,6.7,fake,Scooby-Doo! in Where's my Mummy?,7
2006,7.4,fake,E-Scream,5
2006,6.7,fake,Scooby-Doo! Pirates Ahoy!,5
2006,6.1,real,Shags to Riches,0
2006,5,real,More Fondue for Scooby-Doo,1
2006,6,real,High Society Scooby,4
2006,5.9,real,Party Arty,1
2006,5.9,real,Smart House,1
2006,5.5,real,Lightning Strikes Twice,0
2007,5.8,real,Don't Feed the Animals,1
2007,6.9,real,Mysterty of the Missing Mystery Solvers,9
2007,5.1,real,Chefs of Steel,1
2007,6.1,real,Almost Ghosts,1
2007,6.1,real,Pole to Pole,0
2007,5.9,real,Big Trouble,0
2007,5.1,real,Operation Dog and Hippy Boy,0
2007,6.7,fake,"Chill Out, Scooby-Doo!",6
2007,5.3,real,Shaggy and Scooby World,0
2007,5.2,real,Almost Purr-fect,0
2007,5.9,real,Inside Job,8
2007,5.5,real,Zoinksman,0
2007,5.4,real,The Many Faces of Evil,0
2007,5.6,real,Crusin' for a Brusin',0
2007,5.5,real,There's a Doctor in the House,1
2008,5.4,real,Super Scary Movie Night,0
2008,4.8,real,Runaway Robi,1
2008,4.6,real,Don't Get a Big Head,0
2008,6.2,real,Scooby Dudes,0
2008,5.1,real,Zoinks the Wonder Dog,0
2008,5.8,real,Uncle Albert Alert,0
2008,6.4,real,Scooby-Doo! and the Goblin King,11
2009,6.5,fake,Scooby-Doo! and the Samurai Sword,10
2009,5.3,real,Scooby-Doo! The Mystery Begins,6
2010,7.1,fake,Scooby-Doo! Abracadabra-Doo,6
2010,7.9,fake,Beware the Beast From Below,2
2010,7.8,fake,The Creeping Creatures,3
2010,7.7,fake,The Secret of the Ghost Rig,2
2010,7.7,fake,Revenge of the Man Crab,2
2010,8,fake,The Song of Mystery,2
2010,8.5,fake,The Legend of Alice May,1
2010,8.2,fake,In Fear of the Phantom,2
2010,7.8,fake,The Grasp of the Gnome,3
2010,7.6,fake,Battle of the Humungonauts,3
2010,7.3,fake,Scooby-Doo! Camp Scare,8
2010,8.2,fake,Howl of the Fright Hound,3
2010,8.1,fake,The Secret Serum,3
2010,8.4,fake,The Shrieking Madness,5
2010,8,fake,When the Cicada Calls,5
2011,4.9,real,Scooby-Doo! Curse of the Lake Monster,4
2011,8.2,fake,Mystery Solvers Club State Finals,6
2011,7.7,fake,The Wild Brood,6
2011,8.2,fake,Where Walks Aphrodite,1
2011,8.8,real,Escape from Mystery Manor,0
2011,8.2,fake,The Dragon's Secret,3
2011,8.5,fake,Nightfright,3
2011,8.1,fake,The Siren's Song,5
2011,8.2,fake,Menace of the Manticore,3
2011,8.1,fake,Attack of the Headless Horror,3
2011,8.6,fake,A Haunting in Crystal Cove,2
2011,8.2,fake,Dead Justice,3
2011,8.8,fake,Pawn of Shadows,3
2011,9.2,fake,All Fear the Freak,3
2011,6.8,fake,Scooby-Doo! Legend of the Phantosaur,7
2012,6.5,fake,Scooby-Doo! Music of the Vampire,7
2012,6.9,fake,Scooby-Doo! Spooky Games,4
2012,8.5,fake,The Night the Clown Cried,1
2012,7.9,fake,The House of the Nightmare Witch,2
2012,8.4,fake,The Night the Clown Cried II - Tears of Doom,2
2012,8.2,fake,Web of the Dreamweaver!,4
2012,8.4,fake,The Hodag of Horror,3
2012,7.7,fake,Art of Darkness,6
2012,8.2,fake,The Gathering Gloom,5
2012,8.3,fake,Night on Haunted Mountain,3
2012,8.3,fake,Grrim Judgment,3
2012,9.1,fake,Night Terrors,3
2012,8.7,real,The Midnight Zone,2
2012,8.2,fake,Scarebear,2
2012,8.9,fake,Wrath of the Krampus,1
2012,7.6,fake,Heart of Evil,0
2012,8.6,fake,Theater of Doom,3
2012,6.9,fake,Big Top Scooby-Doo!,9
2012,7,fake,Scooby-Doo! Haunted Holidays,5
2013,6.8,fake,Scooby-Doo! Mask of the Blue Falcon,8
2013,8,fake,Aliens Among Us,0
2013,8.3,fake,The Horrible Herd,4
2013,8,fake,Dance of the Undead,2
2013,7.8,fake,The Devouring,3
2013,8.3,fake,Stand and Deliver,2
2013,8.9,fake,The Man in the Mirror,0
2013,8.9,fake,Nightmare in Red,2
2013,8.4,fake,Dark Night of Hunters,2
2013,8.7,fake,Gates of Gloom,1
2013,9,real,Through the Curtain,0
2013,9.3,real,Come Undone,0
2013,5.1,fake,Scooby-Doo Adventure: The Mystery Map!,5
2013,7.1,fake,Scooby-Doo! Stage Fright,19
